Title,Address,Lat,Lng,Img_URL,Description,Rank_of_province,Link,Type,PlaceName,GoogleMapsURL
B3 Steakhouse & Craft Beer,"14 Nguyễn Huệ, Bến Nghé, Quận 1 Level 1, Thành phố Hồ Chí Minh Việt Nam","107,739,136","10,670,476,852,032,400",https://media-cdn.tripadvisor.com/media/photo-p/25/0a/f0/00/outdoor.jpg,"Lâu chỉ ăn món Việt, làm một tour đổi gió, lần này là steak :D Đồ ngon, thị mềm nhưng ngon và nguyên vị nên rất ngon. Ăn là cảm nhận được thịt được lựa tốt. Cách chế biến cũng ngon, dễ ăn. Một bữa...Thêm",#19 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10317597-Reviews-B3_Steakhouse_Craft_Beer-Ho_Chi_Minh_City.html,Food,"B3 Steakhouse & Craft Beer 14 Nguyễn Huệ, Bến Nghé, Quận 1 Level 1, Thành phố Hồ Chí Minh Việt Nam",https://maps.app.goo.gl/7JF6bSbEJiXeHDqd7
Hum - Healthy Veggies Delights,"32 - 34 Võ Văn Tần Phường 6, Quận 3, Thành phố Hồ Chí Minh 70000 Việt Nam","10,781,467","1,066,948,334",https://media-cdn.tripadvisor.com/media/photo-s/23/8f/bc/21/hum-cafe.jpg,"Mình có ấn tượng rất tốt với Hum Thảo Điền nên hôm nay quyết định trải nghiệm Hum Võ Văn Tần để có cái nhìn khách quan hơn. Thì, theo cá nhân mình, không gian ở Võ Văn Tần là một trải nghiệm rất khác...Thêm",#22 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3682545-Reviews-Hum_Healthy_Veggies_Delights-Ho_Chi_Minh_City.html,Food,"Hum - Healthy Veggies Delights 32 - 34 Võ Văn Tần Phường 6, Quận 3, Thành phố Hồ Chí Minh 70000 Việt Nam",
Baba's Kitchen,"274 Bùi Viện Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,667,355","1,066,924,554",https://media-cdn.tripadvisor.com/media/photo-s/17/b8/dd/c1/baba-s-kitchen.jpg,"Đồ ăn ngon, mùi vị đặc trưng ấn độ, nhiều món để lựa chọn. Phục vụ nhiêtn tình chu đáo. Mọi người ghé thăm để thưởng thức",#20 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d2254119-Reviews-Baba_s_Kitchen-Ho_Chi_Minh_City.html,Food,"Baba's Kitchen 274 Bùi Viện Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/jDuq7hDDXqoZticP7
The Posh Duck Kitchen,"Lô 9 Đường số 7 Quận 7, Tân Thuận Đông, Thành phố Hồ Chí Minh 700000 Việt Nam",10.75,"1,067,325",https://media-cdn.tripadvisor.com/media/photo-p/1c/40/a7/6c/reserve-your-table-this.jpg,"Một không gian hoàn toàn khác biệt, đáng để thử và đổi gió. Menu rất đa dạng và phong phú. Mình có dùng thử set lunch, giá rất hợp lý, ăn siêu no luôn. Đồ ăn tươi và ngon lắm, rất đáng đông tiền. Không...Thêm",#23 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12969004-Reviews-The_Posh_Duck_Kitchen-Ho_Chi_Minh_City.html,Food,"The Posh Duck Kitchen Lô 9 Đường số 7 Quận 7, Tân Thuận Đông, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/85G46dnusJb9aQmS6
Bếp Mẹ ỉn,"136/9 Đường Lê Thánh Tôn Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,738,278","1,066,980,609",https://media-cdn.tripadvisor.com/media/photo-s/29/db/99/dc/come-in-and-join-us-or.jpg,Hồi hôm bữa mình muốn ăn món Việt nên ghé vào hẻm để thưởng thức. Vì Nam Giao hết chỗ nên mình đã có trải nghiệm thử dịch vụ của Mẹ Ỉn. Nói chung là đồ ăn không được ngon lắm so với giá tiền....Thêm,#41 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10721705-Reviews-B_p_M_n-Ho_Chi_Minh_City.html,Food,"Bếp Mẹ ỉn 136/9 Đường Lê Thánh Tôn Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/ZqPLaaz2ptgiLMUU9
Nhà hàng Ấn Độ Natraj,"41 Bùi Thị Xuân, P. Bến Thành, Q.1 District 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,974,482","1,066,631,128",https://media-cdn.tripadvisor.com/media/photo-s/12/22/a2/6d/natraj-welcomes-you-to.jpg,"Gia đình đã ăn và ghé lại do thức ăn ngon và dễ lựa chọn. Nhất là món cà ri cừu ăn với bánh nan bơ tỏi, món rau củ cũng ngon và dễ ăn. Phù hợp với người Việt nam ănThêm",#24 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10060971-Reviews-Natraj_Indian_Cuisine_Restaurant-Ho_Chi_Minh_City.html,Food,"Nhà hàng Ấn Độ Natraj 41 Bùi Thị Xuân, P. Bến Thành, Q.1 District 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/bH9Qeawtrrqyo3Zt7
Sushi Sun,"46 Nguyễn Cư Trinh Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam","107,630,751","1,066,863,012",https://media-cdn.tripadvisor.com/media/photo-p/1a/f3/5b/8c/photo0jpg.jpg,"Nhân viên nhiệt tình, quán đẹp ấm cúng, đồ ăn ngon nhé. Nhân viên nhiệt tình thân thiện, dễ thương !!",#25 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7793689-Reviews-Sushi_Sun-Ho_Chi_Minh_City.html,Food,"Sushi Sun 46 Nguyễn Cư Trinh Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",https://maps.app.goo.gl/wLgKaqkMTELcZVCo6
B3 Wine Bar & Grill,"94 Xuân Thủy, Thảo Điền, Thành phố Hồ Chí Minh Việt Nam","108,032,546","1,067,319,954",https://media-cdn.tripadvisor.com/media/photo-o/22/e3/f9/5e/logo.jpg,"Đồ ăn làm rất ngon, steak ngon và vị đượm. Rượu nhập khầu cũng miễn chê. Không gian lãng mạn, sang trọng. Nhân viên tại đây rất thân thiện và nhiệt tình, giúp bạn có một trải nghiệm tuyệt vời.",#27 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d23956041-Reviews-B3_Wine_Bar_Grill-Ho_Chi_Minh_City.html,Food,"B3 Wine Bar & Grill 94 Xuân Thủy, Thảo Điền, Thành phố Hồ Chí Minh Việt Nam",https://maps.app.goo.gl/MNfCUNwMCiZsr8918
Nhà Hàng Noir.,"178-180D Hai Bà Trưng Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","10,781,971","106,693,081",https://media-cdn.tripadvisor.com/media/photo-p/1b/54/43/34/photo0jpg.jpg,Không gian quán bên ngoài khá tĩnh lặng. Phòng chờ đc trang trí rất ấm áp. Các bạn phục vụ rất nhanh nhẹn nhiệt tình. Bọn mình chon set menu west tổng cộng 11 món. Mỗi món là một chút đồ ăn nên bạn sẽ...Thêm,#26 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7157553-Reviews-Noir_Dining_In_The_Dark-Ho_Chi_Minh_City.html,Food,"Nhà Hàng Noir. 178-180D Hai Bà Trưng Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/cEPtmjr4Tkhke4xH9
Moo Beef Steak - Prime,"35-37 Ngô Đức Kế Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","10,777,353","106,698,089",https://media-cdn.tripadvisor.com/media/photo-s/19/66/b7/3f/beef-rossini.jpg,"Phù hợp gia đình và cặp đôi, không gian lãng mạn ấm cúng, ăn nhiều lần nhân viên thân thiện lịvh sự",#28 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12699961-Reviews-Moo_Beef_Steak_Prime-Ho_Chi_Minh_City.html,Food,"Moo Beef Steak - Prime 35-37 Ngô Đức Kế Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/5CGFVoYZvYcT9Jh18
