Title,Address,Lat,Lng,Img_URL,Description,Rank_of_province,Link,Type,PlaceName,GoogleMapsURL
Street Box Coffee,"17/1 Út Tịch Phường 4, Tân Bình, Thành phố Hồ Chí Minh 700000 Việt Nam","107,934,217","1,066,591,633",https://media-cdn.tripadvisor.com/media/photo-s/17/36/31/d2/next-to-bar.jpg,"Bữa trưa, Bữa tối",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d16811393-Reviews-Street_Box_Coffee-Ho_Chi_Minh_City.html,Food,"Street Box Coffee 17/1 Út Tịch Phường 4, Tân Bình, Thành phố Hồ Chí Minh 700000 Việt Nam",
4Gs Texas,"16 Cao Thang, Thành phố Hồ Chí Minh Việt Nam","107,695,143","1,066,827,477",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17528593-Reviews-4Gs_Texas-Ho_Chi_Minh_City.html,Food,"4Gs Texas 16 Cao Thang, Thành phố Hồ Chí Minh Việt Nam",
Na Na Banana Che,"Duong 21, ward 8, go vap district, Thành phố Hồ Chí Minh 70000 Việt Nam","108,050,769","10,669,970,096,910,600",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d4998062-Reviews-Na_Na_Banana_Che-Ho_Chi_Minh_City.html,Food,"Na Na Banana Che Duong 21, ward 8, go vap district, Thành phố Hồ Chí Minh 70000 Việt Nam",
Nhà hàng Lụa Việt,"52 Võ Văn Tần Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000 Việt Nam","107,692,249","1,066,834,859",https://media-cdn.tripadvisor.com/media/photo-s/13/d3/fa/00/l-u-bo-l-a-vi-t-d-c-bi.jpg,40 ₫ - 700.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d14767399-Reviews-Lua_Viet_Restaurant-Ho_Chi_Minh_City.html,Food,"Nhà hàng Lụa Việt 52 Võ Văn Tần Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000 Việt Nam",
Marukin Yakiniku,"8/1 Lê Thánh Tôn Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","10,774,773","106,699,613",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Bữa trưa, Bữa tối",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21280518-Reviews-Marukin_Yakiniku-Ho_Chi_Minh_City.html,Food,"Marukin Yakiniku 8/1 Lê Thánh Tôn Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",
Otoke Chicken,"547 Huỳnh Tấn Phát Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh 700000 Việt Nam","107,555,067","1,067,233,231",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,39.000 ₫ - 99.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17642014-Reviews-Otoke_Chicken-Ho_Chi_Minh_City.html,Food,"Otoke Chicken 547 Huỳnh Tấn Phát Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh 700000 Việt Nam",
Sumo Coffee & Food,"267 Khuong Viet, Thành phố Hồ Chí Minh 70000 Việt Nam","107,693,434","1,066,376,979",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Cà phê, Kiểu Á, Bản địa",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25306677-Reviews-SUMO_Coffee_Food-Ho_Chi_Minh_City.html,Food,"Sumo Coffee & Food 267 Khuong Viet, Thành phố Hồ Chí Minh 70000 Việt Nam",
Nhà Hàng Lẩu Chay Ngon Tân Bình,"62/10 Trương Công Định P.14, Tân Bình, Thành phố Hồ Chí Minh Việt Nam","107,956,035","1,066,408,274",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Bữa sáng, Bữa trưa, Bữa tối",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12406524-Reviews-Vegan_Drink_and_Food-Ho_Chi_Minh_City.html,Food,"Nhà Hàng Lẩu Chay Ngon Tân Bình 62/10 Trương Công Định P.14, Tân Bình, Thành phố Hồ Chí Minh Việt Nam",
Sushi Aoyama,"21 C Ton Duc Thang Dist1, Thành phố Hồ Chí Minh Việt Nam","10,780,668","1,067,077,893",https://media-cdn.tripadvisor.com/media/photo-s/28/fe/3a/c5/caption.jpg,"Kiểu Nhật, Sushi, Phong cách ẩm thực Kappo, Ẩm thực Hokkaido",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25278695-Reviews-Sushi_Aoyama-Ho_Chi_Minh_City.html,Food,"Sushi Aoyama 21 C Ton Duc Thang Dist1, Thành phố Hồ Chí Minh Việt Nam",
Belgo Belgian Craft Beer,"159A Đ. Nguyễn Văn Thủ, Thành phố Hồ Chí Minh Việt Nam","107,865,712","1,066,957,974",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Đặt chỗ, Ngồi ngoài trời, Chỗ ngồi, Bãi đỗ xe đường phố, Chấp nhận thẻ Mastercard, Chấp nhận thẻ Visa, Thanh toán điện tử, Chỉ chấp nhận tiền mặt, Wifi miễn phí, Chấp nhận thẻ tín dụng",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25576892-Reviews-Belgo_Belgian_Craft_Beer-Ho_Chi_Minh_City.html,Food,"Belgo Belgian Craft Beer 159A Đ. Nguyễn Văn Thủ, Thành phố Hồ Chí Minh Việt Nam",
