Title,Address,Lat,Lng,Img_URL,Description,Rank_of_province,Link,Type,PlaceName
Eat My Sausage,"56F Nguyễn Thị Thập Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh 700000 Việt Nam","107,383,278","1,067,172,495",https://media-cdn.tripadvisor.com/media/photo-s/1b/b4/1e/5a/we-have-german-sausages.jpg,"Bữa trưa, Bữa tối, Đồ uống",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21183932-Reviews-Eat_My_Sausage-Ho_Chi_Minh_City.html,Food,"Eat My Sausage 56F Nguyễn Thị Thập Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh 700000 Việt Nam"
Yuhua - Taiwanese Buffet Hotpot,"291B, Lê Văn Sỹ Phường 1, Quận Tân Bình, Thành phố Hồ Chí Minh Việt Nam","107,861,078","1,066,810,825",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Kiểu Á, Cửa hàng thức ăn ngon, Tốt cho sức khỏe, Kiểu Đài Loan",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d24174353-Reviews-Yuhua_Taiwanese_Buffet_Hotpot-Ho_Chi_Minh_City.html,Food,"Yuhua - Taiwanese Buffet Hotpot 291B, Lê Văn Sỹ Phường 1, Quận Tân Bình, Thành phố Hồ Chí Minh Việt Nam"
Quán Cà Phê Số,"119 Đường Số 3, Cư Xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh Việt Nam","10,762,131","106,641,724",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Bữa sáng, Bữa trưa, Bữa tối",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12362323-Reviews-Coffee_So-Ho_Chi_Minh_City.html,Food,"Quán Cà Phê Số 119 Đường Số 3, Cư Xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh Việt Nam"
Bun Bo O Ha 136 Pho Quang,"136 Pho Quang, Ward 9, Phu Nhuan District, Thành phố Hồ Chí Minh Việt Nam","108,030,061","1,066,778,362",https://media-cdn.tripadvisor.com/media/photo-s/29/5a/29/0a/the-bistro-has-outdoor.jpg,"Giao hàng, Bữa ăn tự chọn, Chỗ ngồi, Bãi đỗ xe đường phố, Lối vào ra cho xe lăn, Thanh toán điện tử, Wifi miễn phí, Dịch vụ mua hàng trực tiếp trên xe, Phong cách gia đình",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d26101071-Reviews-Bun_Bo_O_Ha_136_Pho_Quang-Ho_Chi_Minh_City.html,Food,"Bun Bo O Ha 136 Pho Quang 136 Pho Quang, Ward 9, Phu Nhuan District, Thành phố Hồ Chí Minh Việt Nam"
Cô Giang Quán - Beer Garden,"27 Đường số 17 Phường An Phú, Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam","107,993,221","1,067,390,627",https://media-cdn.tripadvisor.com/media/photo-p/1a/8c/b6/5b/kebab-in-hcmcity-price.jpg,250 ₫ - 350 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17414685-Reviews-Co_Giang_Quan_Beer_Garden-Ho_Chi_Minh_City.html,Food,"Cô Giang Quán - Beer Garden 27 Đường số 17 Phường An Phú, Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam"
Cơm Niêu Thiên Lý - Tạ Hiện,"27 Tạ Hiện, P.Thạnh Mỹ Lợi, Q.2, TP.Thủ Đức, Thành phố Hồ Chí Minh Việt Nam","10,777,766","106,752,742",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Kiểu Á, Bản địa",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d26342209-Reviews-Com_Nieu_Thien_Ly_T_Hi_n-Ho_Chi_Minh_City.html,Food,"Cơm Niêu Thiên Lý - Tạ Hiện 27 Tạ Hiện, P.Thạnh Mỹ Lợi, Q.2, TP.Thủ Đức, Thành phố Hồ Chí Minh Việt Nam"
The Street,"37 Mạc Đĩnh Chi, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,878,429","1,066,961,375",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Kiểu Á, Cửa hàng thức ăn ngon, Bản địa",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d26471707-Reviews-The_Street-Ho_Chi_Minh_City.html,Food,"The Street 37 Mạc Đĩnh Chi, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam"
Deeps,"33 Le Anh Xuan, District 1 Rooftop, Thành phố Hồ Chí Minh 700000 Việt Nam","107,712,246","1,066,954,962",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Quầy bar, Quốc tế, Quán rượu, Quán bar phục vụ đồ ăn, Nhà hàng bia",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d18922214-Reviews-Deeps-Ho_Chi_Minh_City.html,Food,"Deeps 33 Le Anh Xuan, District 1 Rooftop, Thành phố Hồ Chí Minh 700000 Việt Nam"
Reverie Saigon,"Level B1 & 1, Times Square Building, 22-36 Nguyen, Thành phố Hồ Chí Minh Việt Nam","107,737,618","106,704,673",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,Kiểu Ý,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25063052-Reviews-Reverie_Saigon-Ho_Chi_Minh_City.html,Food,"Reverie Saigon Level B1 & 1, Times Square Building, 22-36 Nguyen, Thành phố Hồ Chí Minh Việt Nam"
Gạch Ống Food & Beer,"11 Đ. Nguyễn Văn Bá, Phước Long B, Thủ Đức Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh 700000 Việt Nam","10,781,971","106,693,081",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Kiểu Việt, Nhà hàng bia",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d24995426-Reviews-G_ch_ng_Food_Beer-Ho_Chi_Minh_City.html,Food,"Gạch Ống Food & Beer 11 Đ. Nguyễn Văn Bá, Phước Long B, Thủ Đức Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh 700000 Việt Nam"
