Title,Address,Lat,Lng,Img_URL,Description,Rank_of_province,Link,Type,PlaceName,GoogleMapsURL
Quán Ngói 2,"C19/11 khu dân cư Trung Sơn, quận 8 ngay vòng xoay Trung Sơn, Thành phố Hồ Chí Minh 888888 Việt Nam","13,777,028","109,226,621",https://media-cdn.tripadvisor.com/media/photo-s/06/7f/d3/f4/ngoi-2-restaurant.jpg,"Tôi đi du lịch cùng bạn trai, tôi cảm thấy mình may mắn vì ở một nơi xa quê hương lại có thể đặt chân vào quán ăn hợp lý như thế, đồ ăn rất ngon và vừa túi tiền với những người du lịch...Thêm",#2.111 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d6894035-Reviews-Ngoi_2_Restaurant-Ho_Chi_Minh_City.html,Food,"Quán Ngói 2 C19/11 khu dân cư Trung Sơn, quận 8 ngay vòng xoay Trung Sơn, Thành phố Hồ Chí Minh 888888 Việt Nam",
Mr. Bistek,"03 Trần Phú Phường 4, Quận 5, Thành phố Hồ Chí Minh 700000 Việt Nam","107,526,577","1,066,680,593",https://media-cdn.tripadvisor.com/media/photo-s/1a/15/37/d3/very-good-food-great.jpg,Đến thăm nhà hàng bít tết này trong chuyến đi gần đây của chúng tôi đến Hồ Chí Minh. Tìm thấy các nhân viên rất hữu ích. Rất sạch sẽ và gọn gàng. Các món ăn là hạng nhất và giá trị rất tốt. Rất...Thêm,#2.112 trên 3.734 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d15836216-Reviews-Mr_Bistek-Ho_Chi_Minh_City.html,Food,"Mr. Bistek 03 Trần Phú Phường 4, Quận 5, Thành phố Hồ Chí Minh 700000 Việt Nam",
TacoLeo,"48B Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam","10,761,141","106,692,492",https://media-cdn.tripadvisor.com/media/photo-p/08/f8/4c/fe/tacoleo.jpg,"Vị trí: Mặt tiền đường Cao Bá Nhạ kế bên cái quán bún bò. Màu đỏ nổi bật của quán giúp mình tìm rất dễ dàng. Có chỗ để xe máy, ⚠️ ko có người giữ nên KHÓA CỔ XE, ko tốn tiền gửi xe....Thêm",#2.111 trên 3.734 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21043358-Reviews-TacoLeo-Ho_Chi_Minh_City.html,Food,"TacoLeo 48B Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",https://maps.app.goo.gl/YTCdGxYCi2kYu1qF7
Bò - Lế - Rồ,"1445 Phan Văn Trị Phường 10, Gò Vấp, Thành phố Hồ Chí Minh 700000 Việt Nam","10,832,407","1,066,732,812",https://media-cdn.tripadvisor.com/media/photo-s/18/18/92/e6/photo4jpg.jpg,"Một quán ăn ngon cho những tín đồ mê lẩu. Bò Lế Rồ!! Đánh giá : 1. Đồ ăn nêm nếm ngon , đặc biệt nước lẩu lá chanh chua chua ngọt ngọt thanh thanh rất đã 2. Thịt bò nạt vai ăn cực sướng...Thêm",#2.113 trên 3.734 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17627276-Reviews-Bo_Le_Ro-Ho_Chi_Minh_City.html,Food,"Bò - Lế - Rồ 1445 Phan Văn Trị Phường 10, Gò Vấp, Thành phố Hồ Chí Minh 700000 Việt Nam",
Kemuri Donburi,"135 Hai Bà Trưng Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,810,392","1,067,001,212",https://media-cdn.tripadvisor.com/media/photo-s/18/22/6a/38/img-20190701-112427-largejpg.jpg,Cực kỳ ngon và mang lại rất nhiều kỷ niệm từ cuộc sống ở Tokyo Mọi thứ đều được chuẩn bị tỉ mỉ và giá cả vô cùng hợp lý - bạn cũng có thể thưởng thức bên ngoài với trà đá miễn phí tuyệt...Thêm,#2.114 trên 3.734 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17579980-Reviews-Kemuri_Donburi-Ho_Chi_Minh_City.html,Food,"Kemuri Donburi 135 Hai Bà Trưng Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/icVjnFGDQXEWsyce8
Ốc Đào Quán,"212B/D28 Nguyễn Trãi Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","10,777,353","106,698,089",https://media-cdn.tripadvisor.com/media/photo-s/16/2d/53/f3/20190120-201642-largejpg.jpg,"Nếu bạn muốn tránh xa điểm du lịch thì nơi này là đúng. Xác thực, một chút kỳ lạ nhưng thực phẩm chỉ là hoàn hảo! Đừng mong đợi nhân viên nói tiếng Anh vì đây là nơi chỉ dành cho người địa phương",#2.115 trên 3.734 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d15603409-Reviews-Oc_Dao_Quan-Ho_Chi_Minh_City.html,Food,"Ốc Đào Quán 212B/D28 Nguyễn Trãi Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",https://maps.app.goo.gl/PEZ9r9C8S8qd5jgb9
Nha Hang Gala Buffet,"214 Nguyen Trai, Nguyen Cu Trinh, 1, Ho Chi Minh, Vietnam, Thành phố Hồ Chí Minh 70000 Việt Nam","107,591,088","10,668,371,709,614,400",https://media-cdn.tripadvisor.com/media/photo-s/05/eb/fb/62/vietnamese-dishes.jpg,Đặt chỗ,#2.117 trên 3.734 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d6651872-Reviews-Nha_Hang_Gala_Buffet-Ho_Chi_Minh_City.html,Food,"Nha Hang Gala Buffet 214 Nguyen Trai, Nguyen Cu Trinh, 1, Ho Chi Minh, Vietnam, Thành phố Hồ Chí Minh 70000 Việt Nam",https://maps.app.goo.gl/uyfVzmSaz2ypejA28
Ẩm thực Thượng Hải,"66/10 Phạm Ngọc Thạch, phường 6, quận 3, Thành phố Hồ Chí Minh 70000 Việt Nam","107,821,448","1,066,964,447",https://media-cdn.tripadvisor.com/media/photo-s/0a/8e/9f/a5/photo2jpg.jpg,Đánh bại nhà hàng Trung Quốc ở TP HCM! Bầu không khí tuyệt vời với tiêu chuẩn dịch vụ tốt. Việc đặt hàng tương đối dễ dàng và đội trưởng rất hữu ích. Thức ăn là một trong những món ăn có chất lượng cao...Thêm,#2.116 trên 3.734 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10023003-Reviews-Shanghai_Cuisine_House-Ho_Chi_Minh_City.html,Food,"Ẩm thực Thượng Hải 66/10 Phạm Ngọc Thạch, phường 6, quận 3, Thành phố Hồ Chí Minh 70000 Việt Nam",
Metropolitan Grill And Lounge,"129a/1 Nguyễn Huệ Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","10,771,964","106,706,195",https://media-cdn.tripadvisor.com/media/photo-p/15/15/27/e1/1-nguyen-hue-district.jpg,"Bữa trưa, Bữa tối, Đồ uống",#2.118 trên 3.734 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12059664-Reviews-Metropolitan_Grill_And_Lounge-Ho_Chi_Minh_City.html,Food,"Metropolitan Grill And Lounge 129a/1 Nguyễn Huệ Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",
Hồng Hạnh,"17A Nguyễn Thị Minh Khai, Phường Dakao, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam","107,736,933","1,066,894,014",https://media-cdn.tripadvisor.com/media/photo-p/0b/55/92/3b/img-20160516-111153-largejpg.jpg,Đó là một nhà hàng địa phương để tôi có thể hiểu nó như thế nào. Đã thử ở đó một lần cho bữa tối. Thức ăn ổn nhưng tôi không thích. Giá đã tốt. Tôi gặp vấn đề khi đặt hàng vì họ không...Thêm,#2.119 trên 3.734 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d8285850-Reviews-Hong_Hanh-Ho_Chi_Minh_City.html,Food,"Hồng Hạnh 17A Nguyễn Thị Minh Khai, Phường Dakao, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",https://maps.app.goo.gl/pvT5RauHcFtGkgvQA
